"addon_game_name"	"英雄之路"
"DOTA_HUD_CheckGame_info"  "查询比赛排行榜"
"DOTA_HUD_CheckGame_Button"  "排行榜"
"DOTA_HUD_CheckSpell_NextPage"  "下一页"
"DOTA_HUD_GameContestinfo_Title"  "竞速排行榜"
"DOTA_HUD_GameContestinfo_Title2"  "无尽排行榜"
"DOTA_HUD_GameContestinfo_RankTitle"  "排名"
"DOTA_HUD_GameContestinfo_Title_player_1"  "孤狼(1P)"
"DOTA_HUD_GameContestinfo_Title_player_2"  "双人成行(2P)"
"DOTA_HUD_GameContestinfo_Title_player_3"  "三位一体(3P)"
"DOTA_HUD_GameContestinfo_Title_player_4"  "臭皮匠与诸葛亮(4P)"
"DOTA_HUD_GameContestinfo_Title_player_5"  "赵云与阿斗们(5P)"
"DOTA_HUD_return"  "关闭"
"DOTA_HUD_GetInfo"  "点击获取详细信息"
"DOTA_CUSTOM_Fail_send_contestInfo"                   "发送竞赛数据失败，可能服务器不稳定。请不要退出游戏稍后重新发送数据"
"DOTA_CUSTOM_NO_CONTEST"  "今日为月底休息日，不会记录排行榜成绩"
"DOTA_CUSTOM_NO_CONTEST2"  "今日为月底休息日，不会加百相层数"
