

"addon_game_name"	"Героический Путь"
"DOTA_HUD_CheckGame_info"  "Запрос рейтинга"
"DOTA_HUD_CheckGame_Button"  "Competition Ranking"
"DOTA_HUD_CheckSpell_NextPage"  "Следущая страница"
"DOTA_HUD_GameContestinfo_Title"  "Race Ranking"
"DOTA_HUD_GameContestinfo_Title2"  "Endless Ranking"

"DOTA_HUD_GameContestinfo_RankTitle"  "Ранг"

"DOTA_HUD_GameContestinfo_Title_player_1"  "Lone wolf(1P)"
"DOTA_HUD_GameContestinfo_Title_player_2"  "It Takes Two(2P)"
"DOTA_HUD_GameContestinfo_Title_player_3"  "Trine(3P)"
"DOTA_HUD_GameContestinfo_Title_player_4"  "Three cobblers and Zhuge Liang(4P)"
"DOTA_HUD_GameContestinfo_Title_player_5"  "Four ah Dou and Zhao Yun(5P)"


"DOTA_HUD_return"  "Закрытие"
"DOTA_HUD_GetInfo"  "Нажми для деталей"

"DOTA_CUSTOM_Fail_send_contestInfo"                   "Не удалось отправить данные конкурса, сервер может работать нестабильно. Пожалуйста, не выходите из игры и не отправляйте данные позже"
"DOTA_CUSTOM_NO_CONTEST"  "Сегодня выходной день в конце месяца, и результаты рейтинга записываться не будут."
"DOTA_CUSTOM_NO_CONTEST2"  "Today is the rest day, and the FellOmen WAVE will not increase"
"DOTA_HUD_Contest_rule"  "<font color=\"#5bc0de\">Подробно о рейтинге</font>:<br><font color=\"#f0ad4e\">тип</font>:Таблица лидеров делится на два типа: гоночная и бесконечная, и открыть можно только седьмую и восьмую сложности.<br><br><font color=\"#f0ad4e\">Условия оценки</font>:Время гоночного вызова фиксируется с момента входа в первую волну.<br><br><font color=\"#f0ad4e\">Правила вознаграждения</font>:Игрок может получить обе награды одновременно (наивысший балл в Endless и Race), а это значит, что если вы финишируете первым в гоночной пятерке и третьим в гоночной четверке, то вы получите награду только за первое место в группе из пяти. Но ваша группа из четырех человек не пострадает.<br>Рейтинг в конце сезона будет использоваться в качестве основы для наград.<br><br><font color=\"#f0ad4e\">сезонный цикл</font>:месяц<br><font color=\"#f0ad4e\">расчетное время</font>:В 4:00 последнего дня каждого месяца награда будет выдана на запрос вознаграждения в личной информации.<br><font color=\"#d9534f\">Уведомление:Последний день каждого месяца является выходным днем, и игровые данные не будут записываться.</font><br><br><font color=\"#f0ad4e\">Конкретные уровни вознаграждения</font>:<br>Top1: 1000 платины, 150к Опыта, 2500 золота, Таинственная награда 1;<br>Топ2-3: 600 платины, 120к Опыта, 1500 золота, Таинственная награда 2；<br>Топ4-10: 300 платины, 100к Опыта, 1000 золота, Таинственная награда 3;<br>Топ 5%: 200 платиновых, 80к Опыта, 500 золота;<br>10% лучших: 100 платины 50к Опыта 300 золота；<br>20% лучших: 30к Опыта 200 золотых;；<br>Top 50%: 20к Опыта: 100 золотых;<br>Топ 80%: 10к Опыта, 50 Золота, <br>Другое: 5000Опыта<br><br>Mysterious rewards will be distributed on the 1st to 3rd of the following month."


"skills_shop_Text"                   "Магазин заклинаний"
"MyUIButtonText"                   "Магазин навыков"
"MyUIMain_title"                   "Выберите свои навыки"
"MytestButton2"                   "Отладка"
"MytestButton1"                   "Отладка"
"skills_shop_hotkey"                   "Магазин навыков"
"DOTA_HUD_Spells_Menu_Spell_Cost"                   "Тратить золото"
"DOTA_HUD_Spells_Menu_Spell_Cost_return"                   "Вернуть золото"
"DOTA_HUD_Challenge_Cost_return"                   "Бонусные монеты"

"DOTA_HUD_Spells_Menu_Title"                   "Магазин навыков"
"DOTA_HUD_Spells_Menu_Open_Button"                   "Spell Shop(F7)"
"DOTA_HUD_Game_Shop_state_1"                   "Wait for select Game Mod"
"DOTA_HUD_Game_Shop_state_2"                   "Suggest learning spells first (F7), the game shop will open in the second round"




"DOTA_HUD_Spells_Menu_Upgrade_Button"                   "Spell Elevation"
"DOTA_HUD_Spells_Menu_Sell_Button"                   "Sell Ability"
"DOTA_HUD_Spells_Menu_Close_Button"                   "Close Spell Shop"
"DOTA_HUD_Spells_Menu_Swap_Spells_Button"                   "Switch Hotkey"

"DOTA_HUD_Spells_Menu_buy_card_points"                   "Купить очки"
"DOTA_HUD_Spells_Menu_buy_ability_points"                   "Купить Очки навыка"
"DOTA_HUD_Spells_Menu_Gambling"                   "Держать пари"
"DOTA_HUD_Spells_Menu_Not_Enough_Slot"                   "Недостаточно слота навыка"
"DOTA_HUD_Spells_Menu_Description"                   "Вы можете выбрать указанный значок, чтобы открыть список навыков"
"DOTA_HUD_Spells_Menu_Attention"                   "Продажа навыков может вернуть половину потраченных золотых монет, а когда навыки будут полностью улучшены, их можно будет улучшить.。"


"Spells_Menu_Insufficient_CP"                   "нехватка золота"
"Spells_Menu_unknow_error"                   "Ваши данные не могут быть запрошены, сделайте скриншот автору"
"Spells_Menu_PurchaseNewAbility"                   "  {s:player_name}Изучил навык:<font color=\"#f0ad4e\">{s:ability_name}</font>"
"Spells_Menu_SellNeutralAbility"                   "  {s:player_name}Продал навык:<font color=\"#f0ad4e\">{s:ability_name}</font>,и вернул<font color=\"#f0ad4e\">{s:locstring_value}</font> золота"
"Spells_Menu_SellAbility"                   " Забыл навык 2"
"Spells_Upgrade_Fail"                   " Ошибка, у вас может не быть этой книги навыков"
"Spells_Upgrade_Fail_advanced"                   " Не удалось повысить навык, ваш уровень недостаточен"


"Spells_Upgrade_Fail_left"                   " {s:player_name} Повысил уровень навыков <font color=\"#f0ad4e\">{s:ability_name}</font> Не удалось, возможно, нет книги навыков"
"Spells_Upgrade_Fail_advanced_left"                   " {s:player_name} Прокачал навыки <font color=\"#f0ad4e\">{s:ability_name}</font> неудача, отсутствие навыков"
"Spells_Menu_UpgradeNewAbility"                   "{s:player_name} Улучшил навык:<font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_Spells_Menu_Not_Sell"                   "У вас уже есть этот класс навыков"
"Spells_Menu_UpgradeNewAbility_advanced"                   "{s:player_name}улучшил навык:<font color=\"#f0ad4e\">{s:ability_name}</font>,текущий уровень:<font color=\"#f0ad4e\">{s:locstring_value}</font>"




"DOTA_HUD_Spells_Menu_level"                   "Уровень"
"DOTA_HUD_difficulty_select"                   "Выбор сложности"
"DOTA_HUD_settind_title"                   "Расширенные настройки"
"DOTA_HUD_Challenge_button"                   "Трудности(F8)"
"DOTA_HUD_settind_Camera"                   "Высота камеры"
"DOTA_HUD_difficulty_not_selected_info"                   "Требуется, чтобы игрок 1 выбрал сложность перед началом игры."
"DOTA_HUD_Getexp_Button"                  "Upgrade Spell"
"DOTA_HUD_DropSelectTitle"                   "Выберите награду за предмет"
"DOTA_HUD_MysterySelectTitle"                   "Выберите навык, который хотите разблокировать"

"DOTA_HUD_PhysicalSpells_Button"                   "Physical"
"DOTA_HUD_MagicalSpells_Button"                   "Magical"
"DOTA_HUD_DefenseSpells_Button"                   "Defense"
"DOTA_HUD_SummonSpells_Button"                   "Summon "
"DOTA_HUD_AssistSpells_Button"                   "Assist"
"DOTA_HUD_OtherSpells_Button"                   "Other"
// "DOTA_HUD_PhysicalSpells_Button"                   "Физические"
// "DOTA_HUD_MagicalSpells_Button"                   "Магические"
// "DOTA_HUD_DefenseSpells_Button"                   "Защитные"
// "DOTA_HUD_SummonSpells_Button"                   "Призыв"
// "DOTA_HUD_AssistSpells_Button"                   "Помощь"
// "DOTA_HUD_OtherSpells_Button"                   "Другие"



"DOTA_HUD_Spellsinfo_exp"                   "Reliable exp:"
"DOTA_HUD_Spellsinfo_level_now"                   "Level"
"DOTA_HUD_playerSpellslibraryMenuwindowTitle"                   "Руководство по навыкам"
"DOTA_HUD_SpellsShopMenuwindowTitle"   "Магазин навыков"
"DOTA_HUD_GameShopMenuwindowTitle"   "Game Shop"
"DOTA_HUD_ChaoticEraGameShopMenuwindowTitle"   "Chaotic Era Game Shop"
"DOTA_HUD_GeneralGoods_Button" "General"
"DOTA_HUD_playerGameShopMenuwindowTitle"  "Game Shop"
"DOTA_HUD_VIPGoods_Button"        "VIP"
"Already_buyback"        "Цель уже в воскрешении"



"cant_buyback_disabled"        "The target can not be respawned"
"cant_buyback_dead"        "Когда ты умрешь, не пытайся воскресить других"   
"cant_buyback_too_far"        "500 юнитов от цели"   
"cant_buyback_buying"        "Возрождение цели"   
"cant_buyback_target_weak"        "Target weakness"  
"DOTA_HUD_CheckPay" "Проверить оплату"
"DOTA_CUSTOM_LoginSuccess_buySpell"                   "Данные успешно обновлены"
"DOTA_CUSTOM_Success_buySpell"                   "Покупка прошла успешно, ждем обновления данных"
"DOTA_CUSTOM_Fail_buySpell"                   "Покупка не удалась, сервер может работать нестабильно, повторите попытку"
"DOTA_CUSTOM_LoginFailed_buySpell"                   "Не удалось передать информацию о сервере, текущий сервер может быть нестабильным, попробуйте снова"

"DOTA_HUD_Payment_Title"  "QR code"
"DOTA_HUD_Payment_INFO"   "System will check payment automatically at regular intervals.The window will automatically close after the payment is completed (with the prompt sound and title). Please check your shop again to see if platium is updated. If not, or no promts, please restart the game. If still not working, please contact the author.<br>Attention:<br>1. Order expires in 5 mins; other purchases cannot be made before orders are completed/expired. <br>2.For players outside Chinese Mainland, please use PayPal<br>3.<font color=\"#d9534f\">Refund is not supported. Please think clearly before taking action.</font><br>4.Due to the high fixed handling fee of PayPal, low value transactions will not be supported for the time being(If the price less than 10USD). Please understand.<br>5.If you can't use Paypal and Alipay, you also can contact with me in the discord<br>6.This game is a personal project. I'm the only one maintaining it. Sometimes bugs are inevitable,  please contact me at discord when you have any problem. Thank you for your support"
"DOTA_HUD_Payment_Title2"  "Select payment way"



"DOTA_HUD_SpecialSpellGoods_Button" "Special Spells"
"DOTA_HUD_BlackMarket_Button"  "Daily BlackMarket"
"DOTA_HUD_OtherGoods_Button"  "Others"
"DOTA_HUD_BuyBack_Button"                   "Предложение"

"DOTA_HUD_Spellsinfo_exp_Currency"  "Reliable experience"
"DOTA_HUD_Spellsinfo_gold_Currency"  "Aurum"
"DOTA_HUD_Spellsinfo_Platinum_Currency"  "Platinum"
"DOTA_HUD_Spellsinfo_Yuan_Currency"  "$"
"DOTA_HUD_Confirm_Panel"  "Уверены, что хотите купить товар?"
"DOTA_HUD_Confirm"  "Подтвердить"
"DOTA_HUD_Cancle"  "Отмена"
"dota_hud_greevils_not_enough_gold"  "Недостаточно монет"
"dota_hud_still_chaghing"  "Текущее мировое время вынуждено измениться"
"dota_hud_not_in_battle"  "В настоящее время не в бою"
"dota_hud_still_night"  "Уже темно"
"dota_hud_still_day"  "Уже день"
"dota_hud_no_hammer"  "Теперь нет фантомных способностей"
"dota_hud_silence_cast"  "Cast ability is disabled"
"dota_hud_not_enough_energy"  "Not Enough Charge Point"


