"DOTA_Tooltip_ability_Advanced_laser_note_lv5"				"[Преломление +]Добавить единицу к числу преломлений"
"DOTA_Tooltip_ability_Advanced_laser_note_lv10"				"[Тепловая концентрация+] уменьшена до каждых двух применений"
"DOTA_Tooltip_ability_Advanced_laser_note_lv15"				"[Бесшумный охотник] Дальность применения удваивается, и есть 50% шанс сократить время восстановления наполовину после использования умения."
"DOTA_Tooltip_ability_Advanced_laser_note_lv20"				"[Стратегическое развертывание] Каждые 15 секунд он будет искать врагов в радиусе 1000 и автоматически использованиять лазер."
"DOTA_Tooltip_ability_Advanced_laser_note_base_Info"      "Множитель интеллекта урона: +0,15/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_laser_note_lv25_1"				"[Суперпреломление] Количество преломлений увеличено на 4, и преломление выберет ближайшую цель"
"DOTA_Tooltip_ability_Advanced_laser_note_lv25_2"				"[Лазерная матрица] Больше не может преломляться, но каждый дружественный герой будет излучать лазер в цель."
"DOTA_Tooltip_ability_Advanced_laser_note_lv25_3"				"[Комета Язл] Увеличивает передний замах до 1 секунды и не сможет активировать [Стратегическое развертывание] и [Бесшумный охотник], но время восстановления будет изменено на 1 секунду, и оно будет изменено на 4 секунды непрерывного применения Наносит 1 лазерный урон в секунду врагам на пути (с периодичностью 0,5 секунды) и накладывает полуэффект слепоты на всех врагов."



"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv5"				"[Скорость] Прирост скорости увеличен до 65%%"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv10"				"[Резонанс+] Длительность увеличена до 30 секунд."
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv15"				"[Три героя сражаются с Лу Бу] Воины героического духа плюс один"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv20"				"[Постоянство] Пассивно владейте Героическим духом-воином"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_base_Info"      "Длительность: +1/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv25_1"				"[Несокрушимая армия] Атаки имеют 5%% шанс призвать героического воина, который существует в течение 5 секунд и может одновременно вызывать до десяти духов (также могут быть активированы награды за атаки)"
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv25_2"				"[Боевой массив] 15%% атаки Героического духа-воина вызывает срабатывание боевого массива, призывающего второй вид Героического духа-воина, и после задержки в 0,8 секунды он запускает рубящий удар на расстоянии 1000 от направления основного тело, нанося всем врагам на пути рубящие удары.Физический урон равен АТК*2."
"DOTA_Tooltip_ability_Advanced_Einherjar_note_lv25_3"				"[Прибытие Армии Оникса] Количество воинов-героев увеличено на 2, а дальность атаки увеличена до 4000. Чем дальше воины-герои от тела, тем быстрее будет Скорость движения (не влияет на тело духа-резидента )"




"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv5"				"[Чернила +]Уменьшить КД и увеличить количество стаков*0,14"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv10"			"[След Судьбы+]Максимальный урон увеличен до Интеллект*8"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv15"			"[Непрерывные штрихи] Когда чернила достигают конечной точки, существует 50%% вероятность того, что еще один штрих будет нарисован в случайном направлении (расстояние непрерывных штрихов зафиксировано на 1200)"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv20"			"[Непрерывный ход+] Запускается 100%% последовательных ходов, и 50%% последовательных ходов будут запускаться снова после завершения первого последовательного хода."
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_base_Info"      "Базовый урон: +10/уровень<br/>Множитель интеллекта урона: +0,08/уровень<br/>Множитель интеллекта дополнительного урона каждого врага: +0,01/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv25_1"				"[Неудача]Traces of frustration in painting. Enemies affected by stroke of fate will take an additional 75%% damage for 2 seconds. Being affected repeatedly will increase the duration. Undispellable and not affected by gain"
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv25_2"				"[Мир живописи]he number of [Непрерывный ход] is fixed to 5, (but still affected by hero talent) have one split when first triggered. At the same time, if the distance between the node where the pen is raised and speel release point is more than 1,500, then the next target will be forced to the release point."
"DOTA_Tooltip_ability_Advanced_stroke_of_fate_note_lv25_3"				"[Мо Ли] After stroke of fate hits an enemy, use ink to shape its body structure. Then permanently increase the damage dealt by stroke of fate to this type by 1%%, up to 800%%."




"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv5"				"[Шесть легких непрерывных ударов] Количество меча увеличивается на 2"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv10"			"[Кусачки для ногтей+] Длина энергии меча увеличена на 50%, а максимальное воздействие на цель увеличено на 2"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv15"			"[Вспышка Бога] вернется на исходное место через 1 секунду после отпускания навыка (с косой чертой)"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv20"			"[Вспышка бога+] После срабатывания вспышки бога она сработает дважды (в конце концов она все еще будет на месте)"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_base_Info"      "Базовый урон вторичного меча Ци: +6/уровень<br/>Множитель ловкости вторичного меча: +0,1/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv25_1"				"[Удар Тени]number of triggers of 'Вспышка бога' is increased to 21, triggered immediately after the release, all slashes will be completed within 1 second, return to original point in the last time, but every slash affects up to 3 enemies"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv25_2"				"[Swordsmanship study] Adds passive effect, launch a 'Вспышка бога' without displacement very 5 attacks but affects up to 5 enemies"
"DOTA_Tooltip_ability_Advanced_quadruple_chop_note_lv25_3"				"[Разрушитель душ]Each slash effect permanently reduces the armor of affected enemies by 1, up to a maximum of 100."




"DOTA_Tooltip_ability_Advanced_Chakra_note_lv5"				"[Быстрая перезарядка+] длительность увеличена до 15 секунд."
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv10"			"[Облачность+] Перезарядка всего в 2 раза"
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv15"			"[Сбор] Во время действия -Быстрой перезарядки- Интеллект увеличивается на 1 единицу в секунду."
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv20"			"[Сбор +] изменен на все атрибуты"
"DOTA_Tooltip_ability_Advanced_Chakra_note_base_Info"      "Восстановление маны: +20/уровень<br/>Множитель интеллекта восстановления маны: +0,1/уровень<br/>Сокращение перезарядки: +0,3/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv25_1"				"[Magic Treasure House] The accumulated mana consumed during the duration of the buff can increase the maximum  mana by the same value (up to 20000) at the end of the state until the next time this ability is applied by the same caster. can be strong dispelled "
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv25_2"				"[Gift of Heaven] The next spell damage of the target is increased by 200%%, and in 'Overcasting' is 600%%. For spell with multiple damage, only the first damage is affected."
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv25_3"				"[Magic lamp Blessing] Unlock a passive effect, and it will take effect forever even if you sell the ability. Make a wish automatically every once in a while, adding 2 to your STR/AGI/INT or 50 to your Max Health or 25 to your Max Mana. A fixed interval of 40 seconds, while using any spell with a cooling time greater than 3 s can speed up by 2 s. Only in the combat phase will reduce the buff duration, you can make a wish up to 200 times. Then this Mystery invalid, and the ability returns to the normal state. At this time, you can unlock the Mystery again"


"DOTA_Tooltip_ability_Advanced_Chakra_note_lv25_1"				"[Волшебная сокровищница]У меня есть имя"
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv25_2"				"[Подарок небес]У меня есть имя"
"DOTA_Tooltip_ability_Advanced_Chakra_note_lv25_3"				"[Благословение волшебной лампы]У меня есть имя"






"DOTA_Tooltip_ability_Advanced_aftershock_note_lv5"				"[Резонанс+] Воздействует на дополнительного союзника и увеличивает Дальность действия на 100."
"DOTA_Tooltip_ability_Advanced_aftershock_note_lv10"			"[Продолжительный шок+] Длительность увеличена на 1 секунду, максимальное время накопления увеличено на 1"
